id,cuisine_name,cuisine_id
16668008,Asian,7456
16611701,Asian,7456
18366580,Asian,7456
18366580, Japanese,6200
18244555,Asian,7456
18244555, Chinese,1982
18244555, Thai,5705
18244555, Vietnamese,6116
18429148,Asian,7456
18429148, Japanese,6200
18429148, Chinese,1982
18429148, Thai,5705
309548,Asian,7456
309548, Japanese,6200
309548, Chinese,1982
309548, Thai,5705
309548, Korean,8023
18312632,Asian,7456
18456764,Asian,7456
18456764, Chinese,1982
18456764, Thai,5705
311766,Asian,7456
2632,Asian,7456
2632, Chinese,1982
2632, Thai,5705
18034053,Asian,7456
18034053, Sushi,7613
18289277,Asian,7456
18469965,Asian,7456
312756,Asian,7456
18424635,Asian,7456
18424635, Chinese,1982
305453,Asian,7456
305453, Japanese,6200
305453, Chinese,1982
305453, Thai,5705
18471517,Asian,7456
18471517, North Indian,6088
18471517, Mughlai,9722
302336,Asian,7456
302336, Bakery,9038
18420454,Asian,7456
18415385,Asian,7456
8430,Asian,7456
8430, Chinese,1982
8430, Thai,5705
18303709,Asian,7456
18303709, Burmese,6174
3695,Asian,7456
3695, Italian,3914
3695, Continental,3876
3695, North Indian,6088
18264533,Asian,7456
18264533, Japanese,6200
18264533, Chinese,1982
18261140,Asian,7456
18261140, Chinese,1982
18261140, Thai,5705
310203,Asian,7456
310203, European,2075
18345810,Asian,7456
18345810, Thai,5705
18452267,Asian,7456
18376469,Asian,7456
311470,Asian,7456
311470, Chinese,1982
18277165,Asian,7456
998,Asian,7456
998, Continental,3876
998, North Indian,6088
18451269,Asian,7456
18451269, Chinese,1982
18451269, Thai,5705
18451269, Malaysian,7077
18451269, Burmese,6174
18451269, Indonesian,7340
18306545,Asian,7456
18306545, North Indian,6088
7253,Asian,7456
7253, Chinese,1982
18057816,Asian,7456
18057816, Japanese,6200
18057816, North Indian,6088
18376925,Asian,7456
18376925, Continental,3876
18376925, Fast Food,7819
311370,Asian,7456
311370, Chinese,1982
18294220,Asian,7456
18294220, North Indian,6088
9736,Asian,7456
9736, Chinese,1982
9736, Thai,5705
9736, North Indian,6088
18433890,Asian,7456
18433890, Chinese,1982
18433890, North Indian,6088
18281955,Asian,7456
18281955, Seafood,9663
801690,Cafe,8484
801690, Italian,3914
801690, Continental,3876
2100784,Cafe,8484
2100784, Italian,3914
2100784, Continental,3876
2100784, American,1627
18483252,Cafe,8484
18483252, Spanish,2635
18483252, Turkish,1913
18483252, Greek,2776
16604358,Cafe,8484
16604358, Modern Australian,8562
16604358, Coffee and Tea,4712
9417,Cafe,8484
9417, Italian,3914
9417, Bakery,9038
303723,Cafe,8484
18291469,Cafe,8484
18291469, Italian,3914
18291469, Continental,3876
311483,Cafe,8484
311483, Italian,3914
311483, Continental,3876
311483, Chinese,1982
18180080,Cafe,8484
18421026,Cafe,8484
18322609,Cafe,8484
18322609, Italian,3914
18322609, Continental,3876
18322609, Mexican,7313
18332063,Cafe,8484
18332063, Italian,3914
18163906,Cafe,8484
18163906, Italian,3914
18163906, Continental,3876
18237321,Cafe,8484
18237321, Italian,3914
18237321, Continental,3876
18237321, American,1627
18237321, Chinese,1982
18237321, Mexican,7313
302878,Cafe,8484
304262,Cafe,8484
304262, Italian,3914
304262, Continental,3876
304262, American,1627
304262, Lebanese,2805
304262, Mexican,7313
18337779,Cafe,8484
18337779, Korean,8023
18396054,Cafe,8484
18396054, Chinese,1982
18396054, North Indian,6088
313061,Cafe,8484
2702,Cafe,8484
304735,Cafe,8484
304735, Bakery,9038
18232097,Cafe,8484
18232097, Continental,3876
18232097, Healthy Food,5129
18415346,Cafe,8484
18415346, Italian,3914
18415346, Continental,3876
1901,Cafe,8484
1901, Italian,3914
1901, Lebanese,2805
304989,Cafe,8484
304989, Bakery,9038
304989, Desserts,9864
307370,Cafe,8484
7893,Cafe,8484
18471283,Cafe,8484
18471283, Continental,3876
18471283, Healthy Food,5129
18233599,Cafe,8484
18233599, Italian,3914
18233599, Mexican,7313
18233599, Desserts,9864
18233599, Salad,2986
1902,Cafe,8484
1902, Italian,3914
1902, Lebanese,2805
303288,Cafe,8484
18398571,Cafe,8484
18312607,Cafe,8484
18471243,Cafe,8484
305736,Cafe,8484
18463962,Cafe,8484
18463962, Bakery,9038
7391,Cafe,8484
535,Cafe,8484
18279453,Cafe,8484
18279453, Bakery,9038
18279453, Desserts,9864
18472648,Cafe,8484
18361747,Cafe,8484
18361747, Tea,8767
18361747, Desserts,9864
4251,Cafe,8484
4251, North Indian,6088
4251, Fast Food,7819
313491,Cafe,8484
313491, Chinese,1982
18391309,Cafe,8484
1395,Cafe,8484
1395, Italian,3914
1395, Chinese,1982
3406,Cafe,8484
3406, Italian,3914
3406, Pizza,9082
313299,Cafe,8484
313299, European,2075
18272370,Cafe,8484
18272370, Fast Food,7819
18272370, Healthy Food,5129
18348970,Cafe,8484
18348970, Desserts,9864
18489842,Cafe,8484
307571,Cafe,8484
307571, Italian,3914
307571, Chinese,1982
307571, Fast Food,7819
311340,Cafe,8484
311340, Italian,3914
311340, Continental,3876
311340, Chinese,1982
18349916,Cafe,8484
18349916, Italian,3914
18349916, Continental,3876
18303832,Cafe,8484
18303832, Italian,3914
18303832, Continental,3876
18303832, Chinese,1982
18303832, North Indian,6088
18228894,Cafe,8484
18228894, Italian,3914
18228894, Chinese,1982
18228894, North Indian,6088
18222586,Cafe,8484
18222586, Continental,3876
18222586, Chinese,1982
18222586, North Indian,6088
300815,Cafe,8484
300815, Italian,3914
300815, North Indian,6088
18368002,Cafe,8484
18368002, Continental,3876
18368002, Chinese,1982
18368002, North Indian,6088
18472788,Cafe,8484
18261188,Cafe,8484
18261188, Tea,8767
602,Cafe,8484
4101,Cafe,8484
4101, Bakery,9038
18334452,Cafe,8484
18334452, Italian,3914
18334452, American,1627
18357527,Cafe,8484
18357527, Continental,3876
18357527, American,1627
18357527, Nepalese,6069
300258,Cafe,8484
9984,Cafe,8484
18219554,Cafe,8484
18219554, Italian,3914
1372,Cafe,8484
18217023,Cafe,8484
4357,Cafe,8484
4357, Continental,3876
4357, North Indian,6088
309140,Cafe,8484
309140, Fast Food,7819
18336489,Cafe,8484
18336489, Italian,3914
18336489, Continental,3876
18336489, Fast Food,7819
18245295,Cafe,8484
18245295, Italian,3914
18245295, Continental,3876
18245295, Chinese,1982
18245295, North Indian,6088
18252412,Cafe,8484
18252412, Italian,3914
18252412, Continental,3876
18252412, North Indian,6088
18433610,Cafe,8484
18433610, Italian,3914
18433610, Continental,3876
18358164,Cafe,8484
18358164, Italian,3914
18358164, Continental,3876
18358164, Chinese,1982
18358164, North Indian,6088
18358164, Mexican,7313
18358675,Cafe,8484
18358675, Continental,3876
18358675, Chinese,1982
18358675, North Indian,6088
18358675, Mexican,7313
18261701,Cafe,8484
18391458,Cafe,8484
18391458, Italian,3914
18391458, Continental,3876
18253111,Cafe,8484
18253111, Bakery,9038
18253111, Parsi,5280
18254521,Cafe,8484
9706,Cafe,8484
9706, Italian,3914
18358700,Cafe,8484
305826,Cafe,8484
305147,Cafe,8484
302152,Cafe,8484
18264997,Cafe,8484
18264997, Bakery,9038
7068,Cafe,8484
7068, Desserts,9864
7354,Cafe,8484
18163907,Cafe,8484
301011,Cafe,8484
309807,Cafe,8484
309807, Desserts,9864
309807, Healthy Food,5129
309807, Juices,7166
8817,Cafe,8484
4380,Cafe,8484
619,Cafe,8484
308280,Cafe,8484
18133513,Cafe,8484
18133513, European,2075
18317502,Cafe,8484
18424646,Cafe,8484
18424646, Tibetan,1208
3116,Cafe,8484
3116, North Indian,6088
3116, Fast Food,7819
18287392,Cafe,8484
8292,Cafe,8484
8292, Italian,3914
8292, Fast Food,7819
8292, Asian,9386
4237,Cafe,8484
5464,Cafe,8484
9453,Cafe,8484
7691,Cafe,8484
312345,Cafe,8484
312345, Italian,3914
312345, Continental,3876
312345, Chinese,1982
18356808,Cafe,8484
308175,Cafe,8484
640,Cafe,8484
311030,Cafe,8484
311030, Italian,3914
311030, Continental,3876
305967,Cafe,8484
18208880,Cafe,8484
18208880, Tea,8767
312639,Cafe,8484
312639, Pizza,9082
8257,Cafe,8484
312991,Cafe,8484
6190,Cafe,8484
18163895,Cafe,8484
312352,Cafe,8484
18222554,Cafe,8484
5260,Cafe,8484
301335,Cafe,8484
18241509,Cafe,8484
18241509, Tea,8767
18363209,Cafe,8484
641,Cafe,8484
511,Cafe,8484
5262,Cafe,8484
310912,Cafe,8484
310912, Italian,3914
310912, Chinese,1982
305758,Cafe,8484
305758, Fast Food,7819
305758, Desserts,9864
5527,Cafe,8484
18453448,Cafe,8484
18453448, Pizza,9082
18453448, Fast Food,7819
18198467,Cafe,8484
18198467, Fast Food,7819
18198467, Desserts,9864
18337975,Cafe,8484
18337975, North Indian,6088
18337975, Fast Food,7819
18377887,Cafe,8484
18347812,Cafe,8484
18347812, Bakery,9038
18491264,Cafe,8484
18491264, Bakery,9038
18491264, Fast Food,7819
4560,Cafe,8484
8696,Cafe,8484
3536,Cafe,8484
18153541,Cafe,8484
18153541, Italian,3914
18153541, Continental,3876
18153541, Pizza,9082
304832,Cafe,8484
304832, Belgian,2315
18241497,Cafe,8484
18241497, Continental,3876
18341926,Cafe,8484
18341926, Italian,3914
18341926, Bakery,9038
18341926, European,2075
18337917,Cafe,8484
18337917, North Indian,6088
311777,Cafe,8484
18432226,Cafe,8484
18432226, Italian,3914
