id,address,locality,city,latitude,longitude,zipcode,country_id,locality_verbose,city_id
16668008,"14 Second Ave North, Yorkton, SK S3N 1G1",Yorkton,Yorkton,51.2106824,-102.4613173,S3N 1G1,37,"Yorkton, Yorkton",3600
801690,"CP-1, 2nd Floor, Anand Plaza, Viram Khand-1, Near Patrakarpuram Crossing, Gomti Nagar, Lucknow",Gomti Nagar,Lucknow,26.8528099,81.0011849,226010,1,"Gomti Nagar, Lucknow",8
17558738,"919 Bridge St, Vernonia, OR 97064",Vernonia,Vernonia,45.858667,-123.1954368,97064,216,"Vernonia, Vernonia",8351
16611701,"58 Hanbury St, Mayfield, NSW",Mayfield,Mayfield,-32.899178,151.7343832,2304,14,"Mayfield, Mayfield",2249
2100784,"Opposite Assam State Museum, Dighalipukhuri, Tayabullah Road, Uzan Bazaar, Guwahati",Uzan Bazaar,Guwahati,26.1860014826,91.7523143068,,1,"Uzan Bazaar, Guwahati",21
801269,"3/11 Patrakar Puram, Gomti Nagar, Lucknow",Gomti Nagar,Lucknow,26.8536376008,81.0004396542,226010,1,"Gomti Nagar, Lucknow",8
18483082,17 Jalan Pinang 199149,"Sungai Pinang, Rochor",Singapore,1.3030346478,103.858181255,199149,184,"Sungai Pinang, Rochor, Singapore",52
18483252,"161 Middle Road, Sculpture Square 188978","Victoria, Rochor",Singapore,1.2997077261,103.851994292,188978,184,"Victoria, Rochor, Singapore",52
16615894,"14 Beerburrum St, Dicky Beach, QLD",Dicky Beach,Dicky Beach,-26.783576,153.137401,4551,14,"Dicky Beach, Dicky Beach",2575
16605194,"Pearsons Rd, Trentham East, VIC",Trentham East,Trentham East,-37.396942,144.41272,3458,14,"Trentham East, Trentham East",1556
16605794,"26 Myer street, Lakes Entrance, VIC",Lakes Entrance,Lakes Entrance,-37.8783865,147.9942247,3909,14,"Lakes Entrance, Lakes Entrance",1364
16604358,"115 Main Rd, Hepburn Springs, Hepburn Springs, VIC",Hepburn Springs,Hepburn Springs,-37.3123267,144.1387014,3461,14,"Hepburn Springs, Hepburn Springs",1563
17534788,"Ojo Caliente Mineral Springs Resort And Spa 50 Los Banos Rd, Ojo Caliente, NM 87549",Ojo Caliente,Ojo Caliente,36.313638,-106.057666,87549,216,"Ojo Caliente, Ojo Caliente",7598
16606299,"6a Ramsay Blvd, Inverloch, VIC",Inverloch,Inverloch,-38.6347458,145.7287133,3996,14,"Inverloch, Inverloch",1342
16654702,"3100 N Service Rd, Vineland Station, ON L0R2E0",Vineland Station,Vineland Station,43.1868697,-79.3791465,L0R2E0,37,"Vineland Station, Vineland Station",3418
17694056,"322 American Way, Weirton, WV 26062",Weirton,Weirton,40.396043,-80.529488,26062,216,"Weirton, Weirton",10358
3700050,"123, Bussy Street, MG Road, Puducherry",MG Road,Puducherry,11.929275,79.829584,,1,"MG Road, Puducherry",37
17629582,"1020 Barrett Lake Rd, Dulzura, CA 91917",Potrero,Potrero,32.613431,-116.704731,91917,216,"Potrero, Potrero",8956
18366580,"130 Quarry Street, Unit 20, Cochrane, AB T4C 0W5",Cochrane,Cochrane,51.183934,-114.472474,T4C 0W5,216,"Cochrane, Cochrane",10261
17211719,"258 Nassau St, Princeton, NJ 08542",Princeton,Princeton,40.352385,-74.651139,08542,216,"Princeton, Princeton",3977
9417,"86-A, Shahpur Jat, New Delhi",Shahpur Jat,New Delhi,28.5493213,77.2143783,0,1,"Shahpur Jat, New Delhi",1
18244555,"Shahpur Jat, New Delhi",Shahpur Jat,New Delhi,28.5490245,77.2136148,,1,"Shahpur Jat, New Delhi",1
18222566,"A-5, 2nd Floor, Above Hyundai Showroom, Green Park, New Delhi",Green Park,New Delhi,28.5557195,77.2057995,110016,1,"Green Park, New Delhi",1
303723,"5-G, Dada Jungi House, Shahpur Jat, New Delhi",Shahpur Jat,New Delhi,28.5491821,77.212447,,1,"Shahpur Jat, New Delhi",1
18291469,"3rd Floor, 119, Shishan Bhawan, Shahpur Jat, New Delhi",Shahpur Jat,New Delhi,28.5492042,77.2155012,110049,1,"Shahpur Jat, New Delhi",1
773,"118, Shahpur Jat, New Delhi",Shahpur Jat,New Delhi,28.5495159,77.2159503,0,1,"Shahpur Jat, New Delhi",1
18282047,"The Village Restaurant Complex, Asiad Village, Khel Gaon Marg, New Delhi","The Village Restaurant Complex, Khel Gaon Marg",New Delhi,28.55231,77.2129742,110049,1,"The Village Restaurant Complex, Khel Gaon Marg, New Delhi",1
743,"E-19-A, Main Market, South Extension 2, New Delhi",South Extension 2,New Delhi,28.5680075,77.2199924,0,1,"South Extension 2, New Delhi",1
7759,"E-6, Main Market, South Extension 2, New Delhi",South Extension 2,New Delhi,28.5677197,77.221205,0,1,"South Extension 2, New Delhi",1
311483,"Shop 113, Shahpur Jat, New Delhi",Shahpur Jat,New Delhi,28.5492425,77.2149622,110047,1,"Shahpur Jat, New Delhi",1
18180080,"416, Gora Street, Behind Dada Jungi House, Shahpur Jat, New Delhi",Shahpur Jat,New Delhi,28.548542,77.2132555,,1,"Shahpur Jat, New Delhi",1
18421026,"5th Floor, 119- Sishan House, Shahpur Jat, New Delhi",Shahpur Jat,New Delhi,28.5492447,77.2154563,110049,1,"Shahpur Jat, New Delhi",1
18322609,"JP House, 1st Floor, 118, Near Asain Games Village, Shahpur Jat, New Delhi",Shahpur Jat,New Delhi,28.5498307,77.2155653,110049,1,"Shahpur Jat, New Delhi",1
18332063,"D-15, South Extension 2, New Delhi",South Extension 2,New Delhi,28.5684463,77.2174933,,1,"South Extension 2, New Delhi",1
65,"S-14, Green Park Extension, Green Park, New Delhi",Green Park,New Delhi,28.5580181,77.2059342,0,1,"Green Park, New Delhi",1
18216942,"28, Shopping Complex, Panchsheel Park, New Delhi",Panchsheel Park,New Delhi,28.5480806,77.2112423,,1,"Panchsheel Park, New Delhi",1
483,"E-31/32, South Extension 2, New Delhi",South Extension 2,New Delhi,28.5682336,77.2195433,0,1,"South Extension 2, New Delhi",1
18163906,"5-H, 1st Floor, Jungi House, Shahpur Jat, New Delhi",Shahpur Jat,New Delhi,28.5492078,77.2127165,110049,1,"Shahpur Jat, New Delhi",1
192,"E-31/32, South Extension 2, New Delhi",South Extension 2,New Delhi,28.5684461,77.2191601,0,1,"South Extension 2, New Delhi",1
1675,"E-27, Main Market, South Extension 2, New Delhi",South Extension 2,New Delhi,28.5677663906,77.219000794,0,1,"South Extension 2, New Delhi",1
313256,"91, 2nd Floor, N Block, Connaught Place, New Delhi",Connaught Place,New Delhi,28.6303196,77.2207923,,1,"Connaught Place, New Delhi",1
18237321,"17, 1st Floor, Opposite Sri Venkateshwara College, Satyaniketan, New Delhi",Satyaniketan,New Delhi,28.5876087,77.1671645,,1,"Satyaniketan, New Delhi",1
309859,"61-62, N Block, Outer Circle, Connaught Place, New Delhi",Connaught Place,New Delhi,28.6302434,77.2204415,,1,"Connaught Place, New Delhi",1
302878,"N-81, Oxford Bookstore, Connaught Place, New Delhi",Connaught Place,New Delhi,28.6312233267,77.2221587598,,1,"Connaught Place, New Delhi",1
8241,"310 & 311, 3rd Floor, DLF South Point Mall, Golf Course Road, Gurgaon","DLF South Point Mall, Golf Course Road",Gurgaon,28.448173,77.0992983,0,1,"DLF South Point Mall, Golf Course Road, Gurgaon",1
304262,"2526, 1st Floor, Hudson Lane, Kingsway Camp, Delhi University-GTB Nagar, New Delhi",Delhi University-GTB Nagar,New Delhi,28.6948159,77.2041921,,1,"Delhi University-GTB Nagar, New Delhi",1
1188,"Opposite Mausam Bhawan, Near Gate 1, Lodhi Road, New Delhi",Lodhi Road,New Delhi,28.5904431,77.2210583,0,1,"Lodhi Road, New Delhi",1
305525,"National Crafts Museum, Gate 2, Bhairon Marg, Pragati Maidan, New Delhi",Pragati Maidan,New Delhi,28.6131676,77.2419091,,1,"Pragati Maidan, New Delhi",1
18057792,"Shop F-20, Hog Market, Rajendra Place, New Delhi",Rajendra Place,New Delhi,28.6446732,77.1784871,,1,"Rajendra Place, New Delhi",1
307036,"F-14/15, Middle Circle, Connaught Place, New Delhi",Connaught Place,New Delhi,28.6309539,77.2208457,,1,"Connaught Place, New Delhi",1
18395381,"C-306 A & 307, T-101 & 102, 3rd Floor, Ansal Plaza Mall, Khel Gaon Marg, New Delhi","Ansal Plaza Mall, Khel Gaon Marg",New Delhi,28.5622825,77.2243747,,1,"Ansal Plaza Mall, Khel Gaon Marg, New Delhi",1
18157384,"P-17/90, Outer Circle, Connaught Place, New Delhi",Connaught Place,New Delhi,28.6324794,77.2161749,,1,"Connaught Place, New Delhi",1
4959,"SCO 34, Main Market, Sector 29, Gurgaon",Sector 29,Gurgaon,28.4683279,77.0631922,0,1,"Sector 29, Gurgaon",1
18429148,"Dome, Level 4, Select Citywalk, A-3, District Centre, Saket, New Delhi","Select Citywalk Mall, Saket",New Delhi,28.5284564082,77.2186983749,,1,"Select Citywalk Mall, Saket, New Delhi",1
463,"16, Gali Kababian, Jama Masjid, New Delhi",Jama Masjid,New Delhi,28.6493933,77.23363,0,1,"Jama Masjid, New Delhi",1
18289242,"Cyber Hub, DLF Cyber City, Gurgaon","Cyber Hub, DLF Cyber City",Gurgaon,28.4939356,77.088508,,1,"Cyber Hub, DLF Cyber City, Gurgaon",1
799,"6, Pandara Road Market, New Delhi",Pandara Road Market,New Delhi,28.6081402,77.229733,0,1,"Pandara Road Market, New Delhi",1
301998,"Pacific Mall, Tagore Garden, New Delhi",Tagore Garden,New Delhi,28.6422159,77.1065034,,1,"Tagore Garden, New Delhi",1
307113,"Anand Lok Shopping Centre, Opposite Gargi College, Anand Lok, New Delhi",Anand Lok,New Delhi,28.5556355,77.2194983,,1,"Anand Lok, New Delhi",1
18345728,"21 A, Janpath, New Delhi",Janpath,New Delhi,28.6182446,77.2186451,,1,"Janpath, New Delhi",1
18126111,"Shop 1-2, Ground Floor, Sangam Courtyard, R K Puram, New Delhi","Sangam Courtyard, RK Puram",New Delhi,28.571681,77.1734996,,1,"Sangam Courtyard, RK Puram, New Delhi",1
