id,name,switch_to_order_menu,average_cost_for_two,price_range,currency,aggregate_rating,votes,rating_id,services_id
16668008,Arigato Sushi,0,25,2,$,3.3,26,975,351
801690,Mocha,0,800,3,Rs.,4.6,567,275,351
17558738,Blue House Cafe,0,10,1,$,4.3,88,932,351
16611701,Star Buffet,0,20,2,$,2.9,11,975,351
2100784,11th Avenue Cafe Bistro,0,400,2,Rs.,4.1,377,932,351
801269,Vintage Machine,0,1000,3,Rs.,4.3,887,932,351
18483082,Artistry,0,50,3,$,3.8,28,243,351
18483252,Artichoke Cafe,0,75,4,$,3.2,33,975,351
16615894,The Giggling Goat,0,7,1,$,3.6,29,243,351
16605194,Pig and Whistle,0,20,2,$,4.1,87,932,351
16605794,Funkey Monkey,0,7,1,$,3.8,97,243,351
16604358,Blue Bean Love Cafe,0,20,2,$,3.8,192,243,351
17534788,The Artesian Restaurant,0,40,3,$,3.6,30,243,351
16606299,Beach Box Cafe,0,7,1,$,3.7,100,243,351
16654702,Lake House Restaurant,0,70,4,$,4.3,204,932,351
17694056,Theo Yianni's Authentic Greek Restaurant,0,25,2,$,3.9,156,243,351
3700050,Baker Street,0,400,2,Rs.,4.1,791,932,351
17629582,Barrett Junction Cafe,0,25,2,$,3.3,9,975,351
18366580,Sakura Sushi & Grill,0,25,2,$,3.1,6,975,351
17211719,Blue Point Grill,0,70,4,$,4.0,542,932,351
9417,The Mad Teapot/The Wishing Chair,0,1000,3,Rs.,4.1,251,932,392
18244555,Asia Central,0,1000,3,Rs.,4.2,264,932,360
18222566,The Groghead,0,1700,3,Rs.,3.4,267,975,392
303723,Cafe Red,0,1100,3,Rs.,3.6,260,243,320
18291469,Puppychino,0,1000,3,Rs.,4.4,165,932,360
773,Slice of Italy,0,700,2,Rs.,2.6,274,975,320
18282047,Arriba - Mexican Grill & Tequileria,0,2500,4,Rs.,4.1,146,932,392
743,Daitchi,0,1100,3,Rs.,3.5,273,243,351
7759,Cake Palace,0,250,1,Rs.,3.8,160,243,351
311483,Le ROFL,0,1200,3,Rs.,3.8,177,243,320
18180080,Greenr Cafe,0,1100,3,Rs.,4.6,112,275,360
18421026,Hearken Café,0,900,2,Rs.,4.0,55,932,360
18322609,Remember Me Café,0,1000,3,Rs.,4.0,134,932,320
18332063,The Society Cafe,0,800,2,Rs.,4.1,149,932,360
65,Drums of Heaven,0,1800,3,Rs.,3.5,234,243,320
18216942,Big Wong,0,900,2,Rs.,4.3,108,932,360
483,Moti Mahal Delux- Legendary Culinary,0,1500,3,Rs.,3.6,177,243,320
18163906,Cafe 5H By The Kitchen Connect,0,700,2,Rs.,4.0,88,932,360
192,McDonald's,0,500,2,Rs.,3.6,167,243,360
1675,Qureshi's Kabab Corner,0,650,2,Rs.,3.6,215,243,351
313256,The Junkyard Cafe,0,1500,3,Rs.,3.9,1545,243,392
18237321,Echoes Satyaniketan,0,600,2,Rs.,4.7,1563,275,351
309859,Pebble Street,0,1800,3,Rs.,4.0,817,932,320
302878,Cha Bar,0,500,2,Rs.,3.9,3206,243,351
8241,7 Degrees Brauhaus,0,3200,4,Rs.,4.2,1193,932,392
304262,Ricos,0,900,2,Rs.,4.3,4085,932,351
1188,Lodi - The Garden Restaurant,0,2600,4,Rs.,4.2,2549,932,320
305525,Cafe Lota,0,1200,3,Rs.,4.5,2213,275,351
18057792,Imly,0,700,2,Rs.,3.9,1485,243,351
307036,Excuse Me Boss,0,1800,3,Rs.,4.1,799,932,392
18395381,The Sky High,0,1400,3,Rs.,4.1,387,932,351
18157384,Jungle Jamboree,0,1200,3,Rs.,3.8,1174,243,392
4959,Downtown - Diners & Living Beer Cafe,0,1800,3,Rs.,4.4,3569,932,351
18429148,Pa Pa Ya,0,2000,4,Rs.,4.7,268,275,351
463,Karim's,0,800,2,Rs.,4.0,4689,932,351
18289242,Cyber Hub Social,0,1500,3,Rs.,4.3,716,932,320
799,Gulati,0,1500,3,Rs.,4.4,4373,932,360
301998,Punjab Grill,0,1600,3,Rs.,4.3,1252,932,320
307113,Diggin,0,1400,3,Rs.,4.2,2131,932,320
18345728,Masala Library,0,5000,4,Rs.,4.9,408,275,351
18126111,Cafe Delhi Heights,0,2000,4,Rs.,4.0,304,932,392
18144458,Ziu,0,1500,3,Rs.,4.1,259,932,351
300408,Haldiram's,0,300,1,Rs.,3.6,195,243,351
17953911,Hornbill,0,400,1,Rs.,4.0,149,932,351
307618,Khandani Pakodewala,0,100,1,Rs.,3.7,223,243,351
18337779,Kori's,0,600,2,Rs.,3.6,110,243,360
18396054,Cafe Hashtag LoL,0,1200,3,Rs.,4.2,49,932,392
307464,Mizo Diner,0,600,2,Rs.,3.7,154,243,351
304187,Yo Tibet,0,500,2,Rs.,3.3,150,975,351
9565,Flavours of Tibet,0,500,2,Rs.,3.3,141,975,360
306535,Kulcha King,0,200,1,Rs.,3.8,168,243,360
313061,Starbucks,0,700,2,Rs.,3.7,74,243,351
306291,Nazeer Delicacies,0,650,2,Rs.,3.3,163,975,360
8853,Mathew's Cafe,0,200,1,Rs.,3.7,148,243,351
308544,Flaming Wok,0,1500,3,Rs.,2.7,112,975,320
9657,McDonald's,0,500,2,Rs.,3.5,100,243,360
300283,Freedom Corner,0,600,2,Rs.,3.5,123,243,360
310942,Cafe Rock 'n' Rolla,0,600,2,Rs.,3.6,103,243,360
1859,Khalsa Restaurant,0,600,2,Rs.,2.9,102,975,360
307167,Subway,0,500,2,Rs.,2.4,65,737,360
4910,Le Cirque - The Leela Palace,0,5000,4,Rs.,3.8,199,243,392
6003,Jakoi,0,600,2,Rs.,3.5,218,243,351
309548,Tian - Asian Cuisine Studio - ITC Maurya,0,7000,4,Rs.,4.1,188,932,351
4917,Jamavar - The Leela Palace,0,4000,4,Rs.,3.9,241,243,392
6812,MEGU - The Leela Palace,0,5500,4,Rs.,3.9,178,243,392
301102,Gujarat Bhawan Restaurant,0,400,1,Rs.,3.7,203,243,351
