Address,Locality,City,Latitude,Longitude,Zipcode,Country_ID
"2nd Floor, Adityam Building, Ulubari, Guwahati",Ulubari,Guwahati,26.1721190000,91.7598570000,,1
"94 Murray St, Tanunda, SA",Tanunda,Tanunda,-34.5196190000,138.9660640000,5352,14
"49289 Us-30, Westport, OR 97016",Clatskanie,Clatskanie,46.1269670000,-123.3681510000,97016,216
"350 Hepburn-Newstead Road, Hepburn Springs, VIC",Hepburn Springs,Hepburn Springs,-37.2754940000,144.1100620000,3461,14
"135 W. Main Street, Fernley, NV 89408",Fernley,Fernley,39.6075150000,-119.2526940000,89408,216
"Plot 12-13/557, 3rd Floor, Mauza Samantapuri,Gajapati Nagar, Chandrasekharpur, Bhubaneshwar",Chandrasekharpur,Bhubaneshwar,0.0000000000,0.0000000000,,1
"2 Flinders Pde, Middleton Beach, WA",Middleton Beach,Middleton Beach,-35.0258610000,117.9171660000,6330,14
"Level 1 & 2, Fortaleza Complex, East Avenue, Kalyani Nagar, Pune",Kalyani Nagar,Pune,18.5436256000,73.9051007000,,1
"21053 State Hwy M28, Mc Millan, MI 49853",Mc Millan,Mc Millan,46.3718000000,-85.7363000000,49853,216
"Jl. Dayang Sumbi No. 2, Dago, Bandung",Dago,Bandung,-6.8870575010,107.6127895340,,94
"27 Belmore Rd,, Lorn, NSW",Lorn,Lorn,-32.7280970000,151.5584750000,2320,14
"21 Flinders Parade, Victor Harbor, SA",Victor Harbor,Victor Harbor,-35.5536609000,138.6243160000,5211,14
"64 Owen St, Huskisson, NSW",Huskisson,Huskisson,-35.0388698000,150.6710743000,2540,14
"117 Marsh St, Armidale, NSW",Armidale,Armidale,-30.5147169000,151.6688792000,2350,14
"R.G.B Road, Zonali, Near Jonali Bus Stop, Zoo Tiniali, Guwahati",Zoo Tiniali,Guwahati,26.1676701132,91.7789697647,781024,1
"Baga Calangute, Bardez, Baga, Goa",Baga,Goa,15.5612954890,73.7494780582,403516,1
"196 Bayfront Loop, Winchester Bay, OR 97467",Winchester Bay,Winchester Bay,43.6789980000,-124.1753460000,97467,216
"16 Grant St, Forrest, VIC",Forrest,Forrest,-38.5172920000,143.7143150000,3236,14
"23 Victoria St, Macedon, VIC",Macedon,Macedon,-37.4231890000,144.5641740000,3440,14
"619 4th Ave, Monroe, WI 53566",Monroe,Monroe,42.6063060000,-89.6534870000,53566,216
"2nd Floor, Adityam Building, Ulubari, Guwahati",Ulubari,Guwahati,26.1721190000,91.7598570000,,1
"94 Murray St, Tanunda, SA",Tanunda,Tanunda,-34.5196190000,138.9660640000,5352,14
"49289 Us-30, Westport, OR 97016",Clatskanie,Clatskanie,46.1269670000,-123.3681510000,97016,216
"350 Hepburn-Newstead Road, Hepburn Springs, VIC",Hepburn Springs,Hepburn Springs,-37.2754940000,144.1100620000,3461,14
"135 W. Main Street, Fernley, NV 89408",Fernley,Fernley,39.6075150000,-119.2526940000,89408,216
"Plot 12-13/557, 3rd Floor, Mauza Samantapuri,Gajapati Nagar, Chandrasekharpur, Bhubaneshwar",Chandrasekharpur,Bhubaneshwar,0.0000000000,0.0000000000,,1
"2 Flinders Pde, Middleton Beach, WA",Middleton Beach,Middleton Beach,-35.0258610000,117.9171660000,6330,14
"Level 1 & 2, Fortaleza Complex, East Avenue, Kalyani Nagar, Pune",Kalyani Nagar,Pune,18.5436256000,73.9051007000,,1
"21053 State Hwy M28, Mc Millan, MI 49853",Mc Millan,Mc Millan,46.3718000000,-85.7363000000,49853,216
"Jl. Dayang Sumbi No. 2, Dago, Bandung",Dago,Bandung,-6.8870575010,107.6127895340,,94
"27 Belmore Rd,, Lorn, NSW",Lorn,Lorn,-32.7280970000,151.5584750000,2320,14
"21 Flinders Parade, Victor Harbor, SA",Victor Harbor,Victor Harbor,-35.5536609000,138.6243160000,5211,14
"64 Owen St, Huskisson, NSW",Huskisson,Huskisson,-35.0388698000,150.6710743000,2540,14
"117 Marsh St, Armidale, NSW",Armidale,Armidale,-30.5147169000,151.6688792000,2350,14
"R.G.B Road, Zonali, Near Jonali Bus Stop, Zoo Tiniali, Guwahati",Zoo Tiniali,Guwahati,26.1676701132,91.7789697647,781024,1
"Baga Calangute, Bardez, Baga, Goa",Baga,Goa,15.5612954890,73.7494780582,403516,1
"196 Bayfront Loop, Winchester Bay, OR 97467",Winchester Bay,Winchester Bay,43.6789980000,-124.1753460000,97467,216
"16 Grant St, Forrest, VIC",Forrest,Forrest,-38.5172920000,143.7143150000,3236,14
"23 Victoria St, Macedon, VIC",Macedon,Macedon,-37.4231890000,144.5641740000,3440,14
"619 4th Ave, Monroe, WI 53566",Monroe,Monroe,42.6063060000,-89.6534870000,53566,216
"2nd Floor, Adityam Building, Ulubari, Guwahati",Ulubari,Guwahati,26.1721190000,91.7598570000,,1
"94 Murray St, Tanunda, SA",Tanunda,Tanunda,-34.5196190000,138.9660640000,5352,14
"49289 Us-30, Westport, OR 97016",Clatskanie,Clatskanie,46.1269670000,-123.3681510000,97016,216
"350 Hepburn-Newstead Road, Hepburn Springs, VIC",Hepburn Springs,Hepburn Springs,-37.2754940000,144.1100620000,3461,14
"135 W. Main Street, Fernley, NV 89408",Fernley,Fernley,39.6075150000,-119.2526940000,89408,216
"Plot 12-13/557, 3rd Floor, Mauza Samantapuri,Gajapati Nagar, Chandrasekharpur, Bhubaneshwar",Chandrasekharpur,Bhubaneshwar,0.0000000000,0.0000000000,,1
"2 Flinders Pde, Middleton Beach, WA",Middleton Beach,Middleton Beach,-35.0258610000,117.9171660000,6330,14
"Level 1 & 2, Fortaleza Complex, East Avenue, Kalyani Nagar, Pune",Kalyani Nagar,Pune,18.5436256000,73.9051007000,,1
"21053 State Hwy M28, Mc Millan, MI 49853",Mc Millan,Mc Millan,46.3718000000,-85.7363000000,49853,216
"Jl. Dayang Sumbi No. 2, Dago, Bandung",Dago,Bandung,-6.8870575010,107.6127895340,,94
