Aggregate_Rating,Rating_Text,Rating_Color,Votes
4.9,Excellent,3F7E00,774
4.4,Very Good,5BA829,339
4.3,Very Good,5BA829,96
3.8,Good,9ACD32,93
3.7,Good,9ACD32,83
4.6,Excellent,3F7E00,154
3.8,Good,9ACD32,176
4.3,Very Good,5BA829,868
2.4,Poor,FF7800,17
4.2,Very Good,5BA829,22
3.6,Good,9ACD32,18
3.6,Good,9ACD32,96
4.1,Very Good,5BA829,40
3.5,Good,9ACD32,25
4.3,Very Good,5BA829,233
4.3,Very Good,5BA829,2191
3.2,Average,CDD614,16
3.7,Good,9ACD32,29
3.5,Good,9ACD32,31
3.6,Good,9ACD32,65
4.9,Excellent,3F7E00,774
4.4,Very Good,5BA829,339
4.3,Very Good,5BA829,96
3.8,Good,9ACD32,93
3.7,Good,9ACD32,83
4.6,Excellent,3F7E00,154
3.8,Good,9ACD32,176
4.3,Very Good,5BA829,868
2.4,Poor,FF7800,17
4.2,Very Good,5BA829,22
3.6,Good,9ACD32,18
3.6,Good,9ACD32,96
4.1,Very Good,5BA829,40
3.5,Good,9ACD32,25
4.3,Very Good,5BA829,233
4.3,Very Good,5BA829,2191
3.2,Average,CDD614,16
3.7,Good,9ACD32,29
3.5,Good,9ACD32,31
3.6,Good,9ACD32,65
4.9,Excellent,3F7E00,774
4.4,Very Good,5BA829,339
4.3,Very Good,5BA829,96
3.8,Good,9ACD32,93
3.7,Good,9ACD32,83
4.6,Excellent,3F7E00,154
3.8,Good,9ACD32,176
4.3,Very Good,5BA829,868
2.4,Poor,FF7800,17
4.2,Very Good,5BA829,22
3.6,Good,9ACD32,18
3.6,Good,9ACD32,96
4.1,Very Good,5BA829,40
3.5,Good,9ACD32,25
4.3,Very Good,5BA829,233
4.3,Very Good,5BA829,2191
3.2,Average,CDD614,16
3.7,Good,9ACD32,29
3.5,Good,9ACD32,31
3.6,Good,9ACD32,65
4.9,Excellent,3F7E00,774
4.4,Very Good,5BA829,339
4.3,Very Good,5BA829,96
3.8,Good,9ACD32,93
3.7,Good,9ACD32,83
4.6,Excellent,3F7E00,154
3.8,Good,9ACD32,176
4.3,Very Good,5BA829,868
2.4,Poor,FF7800,17
4.2,Very Good,5BA829,22
3.6,Good,9ACD32,18
3.6,Good,9ACD32,96
4.1,Very Good,5BA829,40
3.5,Good,9ACD32,25
4.3,Very Good,5BA829,233
4.3,Very Good,5BA829,2191
3.2,Average,CDD614,16
3.7,Good,9ACD32,29
3.5,Good,9ACD32,31
3.6,Good,9ACD32,65
4.9,Excellent,3F7E00,774
4.4,Very Good,5BA829,339
4.3,Very Good,5BA829,96
3.8,Good,9ACD32,93
3.7,Good,9ACD32,83
4.6,Excellent,3F7E00,154
3.8,Good,9ACD32,176
4.3,Very Good,5BA829,868
2.4,Poor,FF7800,17
4.2,Very Good,5BA829,22
3.6,Good,9ACD32,18
3.6,Good,9ACD32,96
4.1,Very Good,5BA829,40
3.5,Good,9ACD32,25
4.3,Very Good,5BA829,233
4.3,Very Good,5BA829,2191
3.2,Average,CDD614,16
3.7,Good,9ACD32,29
3.5,Good,9ACD32,31
3.6,Good,9ACD32,65
4.9,Excellent,3F7E00,774
4.4,Very Good,5BA829,339
4.3,Very Good,5BA829,96
3.8,Good,9ACD32,93
3.7,Good,9ACD32,83
4.6,Excellent,3F7E00,154
3.8,Good,9ACD32,176
4.3,Very Good,5BA829,868
2.4,Poor,FF7800,17
4.2,Very Good,5BA829,22
3.6,Good,9ACD32,18
3.6,Good,9ACD32,96
4.1,Very Good,5BA829,40
3.5,Good,9ACD32,25
4.3,Very Good,5BA829,233
4.3,Very Good,5BA829,2191
3.2,Average,CDD614,16
3.7,Good,9ACD32,29
3.5,Good,9ACD32,31
3.6,Good,9ACD32,65
4.9,Excellent,3F7E00,774
4.4,Very Good,5BA829,339
4.3,Very Good,5BA829,96
3.8,Good,9ACD32,93
3.7,Good,9ACD32,83
4.6,Excellent,3F7E00,154
3.8,Good,9ACD32,176
4.3,Very Good,5BA829,868
2.4,Poor,FF7800,17
4.2,Very Good,5BA829,22
3.6,Good,9ACD32,18
3.6,Good,9ACD32,96
4.1,Very Good,5BA829,40
3.5,Good,9ACD32,25
4.3,Very Good,5BA829,233
4.3,Very Good,5BA829,2191
3.2,Average,CDD614,16
3.7,Good,9ACD32,29
3.5,Good,9ACD32,31
3.6,Good,9ACD32,65
3.8,Good,9ACD32,145
3.4,Average,CDD614,180
3.5,Good,9ACD32,163
3.8,Good,9ACD32,95
4.0,Very Good,5BA829,55
4.2,Very Good,5BA829,73
3.5,Good,9ACD32,174
3.6,Good,9ACD32,119
3.8,Good,9ACD32,68
3.5,Good,9ACD32,84
2.7,Average,FFBA00,128
3.8,Good,9ACD32,59
3.5,Good,9ACD32,104
4.0,Very Good,5BA829,83
4.0,Very Good,5BA829,46
4.4,Very Good,5BA829,52
3.7,Good,9ACD32,89
2.6,Average,FFBA00,114
3.4,Average,CDD614,112
3.4,Average,CDD614,104
4.1,Very Good,5BA829,3495
4.2,Very Good,5BA829,1971
4.2,Very Good,5BA829,3311
4.1,Very Good,5BA829,1980
3.8,Good,9ACD32,1046
4.3,Very Good,5BA829,1887
4.9,Excellent,3F7E00,1934
3.6,Good,9ACD32,877
3.9,Good,9ACD32,3413
3.9,Good,9ACD32,1439
4.0,Very Good,5BA829,802
4.3,Very Good,5BA829,3002
3.7,Good,9ACD32,4914
4.3,Very Good,5BA829,3591
3.9,Good,9ACD32,749
4.6,Excellent,3F7E00,1691
4.1,Very Good,5BA829,636
4.2,Very Good,5BA829,1914
3.4,Average,CDD614,1523
4.3,Very Good,5BA829,3530
4.1,Very Good,5BA829,3495
4.2,Very Good,5BA829,1971
4.2,Very Good,5BA829,3311
4.1,Very Good,5BA829,1980
3.8,Good,9ACD32,1046
4.3,Very Good,5BA829,1887
4.9,Excellent,3F7E00,1934
3.6,Good,9ACD32,877
3.9,Good,9ACD32,3413
3.9,Good,9ACD32,1439
4.0,Very Good,5BA829,802
4.3,Very Good,5BA829,3002
3.7,Good,9ACD32,4914
4.3,Very Good,5BA829,3591
3.9,Good,9ACD32,749
4.6,Excellent,3F7E00,1691
4.1,Very Good,5BA829,636
4.2,Very Good,5BA829,1914
3.4,Average,CDD614,1523
4.3,Very Good,5BA829,3530
4.1,Very Good,5BA829,3495
4.2,Very Good,5BA829,1971
4.2,Very Good,5BA829,3311
4.1,Very Good,5BA829,1980
3.8,Good,9ACD32,1046
4.3,Very Good,5BA829,1887
4.9,Excellent,3F7E00,1934
3.6,Good,9ACD32,877
3.9,Good,9ACD32,3413
3.9,Good,9ACD32,1439
4.0,Very Good,5BA829,802
4.3,Very Good,5BA829,3002
3.7,Good,9ACD32,4914
4.3,Very Good,5BA829,3591
3.9,Good,9ACD32,749
4.6,Excellent,3F7E00,1691
4.1,Very Good,5BA829,636
4.2,Very Good,5BA829,1914
3.4,Average,CDD614,1523
4.3,Very Good,5BA829,3530
4.1,Very Good,5BA829,3495
4.2,Very Good,5BA829,1971
4.2,Very Good,5BA829,3311
4.1,Very Good,5BA829,1980
3.8,Good,9ACD32,1046
4.3,Very Good,5BA829,1887
4.9,Excellent,3F7E00,1934
3.6,Good,9ACD32,877
3.9,Good,9ACD32,3413
3.9,Good,9ACD32,1439
4.0,Very Good,5BA829,802
4.3,Very Good,5BA829,3002
3.7,Good,9ACD32,4914
4.3,Very Good,5BA829,3591
3.9,Good,9ACD32,749
4.6,Excellent,3F7E00,1691
4.1,Very Good,5BA829,636
4.2,Very Good,5BA829,1914
3.4,Average,CDD614,1523
4.3,Very Good,5BA829,3530
4.1,Very Good,5BA829,3495
4.2,Very Good,5BA829,1971
4.2,Very Good,5BA829,3311
4.1,Very Good,5BA829,1980
3.8,Good,9ACD32,1046
4.3,Very Good,5BA829,1887
4.9,Excellent,3F7E00,1934
3.6,Good,9ACD32,877
3.9,Good,9ACD32,3413
3.9,Good,9ACD32,1439
4.0,Very Good,5BA829,802
4.3,Very Good,5BA829,3002
3.7,Good,9ACD32,4914
4.3,Very Good,5BA829,3591
3.9,Good,9ACD32,749
4.6,Excellent,3F7E00,1691
4.1,Very Good,5BA829,636
4.2,Very Good,5BA829,1914
3.4,Average,CDD614,1523
4.3,Very Good,5BA829,3530
3.7,Good,9ACD32,94
3.2,Average,CDD614,67
2.6,Average,FFBA00,83
2.7,Average,FFBA00,90
2.7,Average,FFBA00,59
2.6,Average,FFBA00,70
3.0,Average,CDD614,64
3.4,Average,CDD614,63
2.3,Poor,FF7800,54
3.6,Good,9ACD32,31
3.6,Good,9ACD32,49
2.8,Average,FFBA00,53
3.1,Average,CDD614,45
3.3,Average,CDD614,38
3.9,Good,9ACD32,21
3.1,Average,CDD614,34
3.5,Good,9ACD32,40
3.3,Average,CDD614,34
3.2,Average,CDD614,16
3.3,Average,CDD614,33
3.7,Good,9ACD32,59
3.8,Good,9ACD32,20
3.2,Average,CDD614,48
3.4,Average,CDD614,34
2.8,Average,FFBA00,31
3.4,Average,CDD614,28
3.6,Good,9ACD32,32
2.7,Average,FFBA00,33
3.2,Average,CDD614,17
3.5,Good,9ACD32,24
3.2,Average,CDD614,4
3.4,Average,CDD614,25
3.1,Average,CDD614,26
3.2,Average,CDD614,17
3.5,Good,9ACD32,20
3.2,Average,CDD614,14
2.9,Average,FFBA00,16
3.1,Average,CDD614,10
3.2,Average,CDD614,10
3.2,Average,CDD614,17
2.9,Average,FFBA00,16
2.9,Average,FFBA00,7
0,Not rated,CBCBC8,2
3.1,Average,CDD614,5
3.0,Average,CDD614,4
0,Not rated,CBCBC8,2
0,Not rated,CBCBC8,2
0,Not rated,CBCBC8,1
0,Not rated,CBCBC8,2
0,Not rated,CBCBC8,2
0,Not rated,CBCBC8,1
0,Not rated,CBCBC8,0
0,Not rated,CBCBC8,0
0,Not rated,CBCBC8,0
4.2,Very Good,5BA829,1125
3.7,Good,9ACD32,807
3.8,Good,9ACD32,843
3.7,Good,9ACD32,780
